source_key,system_or_topic,citation,doi_or_url,evidence_used
SOG09,SOG 2009,"Talburt et al., SOG: A Synthetic Occupancy Generator to Support Entity Resolution Instruction and Research (2009)",https://www.researchgate.net/publication/215991472_SOG_A_Synthetic_Occupancy_Generator_to_Support_Entity_Resolution_Instruction_and_Research,"Temporal occupancy histories, single/couple population histories, controls, identifier truth; systematic data disruption described as future work"
FEBRL,Febrl,"Christen, Febrl 0.3 user manual and data generator documentation",https://users.cecs.anu.edu.au/~Peter.Christen/Febrl/febrl-0.3/febrldoc-0.3/node70.html,"Configurable originals and duplicates, maximum duplicates per original, corruption configuration, record identifiers"
GECO,GeCo/DBGen,"Christen and Vatsalan, Flexible and Extensible Generation and Corruption of Personal Data, CIKM 2013",https://doi.org/10.1145/2505515.2507815,"Attribute generators and dependencies, original-to-duplicate corruption, multiple duplicates, identifiers, extensibility; family generation is an extension/example rather than a temporal household process"
EMBENCH,EMBench++,"Saveta et al., EMBench++: An enhanced synthetic benchmark for semantic matching algorithms",https://doi.org/10.3233/SW-180331,"Entity evolution, collections/sequences, relationships, dataset-specific modifiers, configurations, and gold-standard mappings"
PSEUDOPEOPLE,pseudopeople,"Simko et al., pseudopeople: configurable simulated population data for entity resolution",https://doi.org/10.12688/gatesopenres.15418.1,"Families, households, employment and temporal observations; multiple datasets; simulant and household identifiers; configurable dataset/column noise"
PSEUDOPEOPLE_DOCS,pseudopeople documentation,"pseudopeople dataset, noise, and generation API documentation",https://pseudopeople.readthedocs.io/en/latest/datasets/,"Dataset schemas and identifiers, multiple observer datasets and years, YAML/dictionary configuration, random seed, and per-dataset/per-column noise"
MAGELLAN,Entity matching systems,"Konda et al., Magellan: Toward Building Entity Matching Management Systems, PVLDB 2016",https://www.vldb.org/pvldb/vol9/p1197-pkonda.pdf,"Prior-art citation for end-to-end entity-matching systems"
DEEPMATCHER,Entity matching systems,"Mudgal et al., Deep Learning for Entity Matching: A Design Space Exploration, SIGMOD 2018",https://doi.org/10.1145/3183713.3196926,"Prior-art citation for learned entity matching"
DITTO,Entity matching systems,"Li et al., Deep Entity Matching with Pre-Trained Language Models, PVLDB 2020",https://www.vldb.org/pvldb/vol14/p50-li.pdf,"Prior-art citation for transformer-based entity matching"
MENESTRINA,Temporal entity resolution,"Menestrina, Whang, and Garcia-Molina, Evaluating Entity Resolution Results, PVLDB 2010",https://doi.org/10.14778/1920841.1920871,"Prior-art citation for entity-resolution evaluation"
BAGGA_BALDWIN,Coreference benchmark,"Bagga and Baldwin, Entity-Based Cross-Document Coreferencing Using the Vector Space Model, COLING-ACL 1998",https://aclanthology.org/C98-1012/,"Prior-art citation for cross-document entity/coreference evaluation"
CHRISTEN_BOOK,Data matching,"Christen, Data Matching: Concepts and Techniques for Record Linkage, Entity Resolution, and Duplicate Detection, Springer 2012",https://doi.org/10.1007/978-3-642-31164-2,"Canonical data-matching reference"
SYNTHEA,Synthetic populations,"Walonoski et al., Synthea: An approach, method, and software mechanism for generating synthetic patients and the synthetic electronic health care record, JAMIA 2018",https://doi.org/10.1093/jamia/ocx079,"Adjacent open longitudinal synthetic-population prior art"
KOPCKE_RAHM,Entity matching survey,"Kopcke and Rahm, Frameworks for entity matching: A comparison, Data and Knowledge Engineering 2010",https://doi.org/10.1016/j.datak.2009.10.003,"Comparative entity-matching framework prior art"
KOPCKE_THOR_RAHM,Entity resolution benchmarks,"Kopcke, Thor, and Rahm, Evaluation of entity resolution approaches on real-world match problems, PVLDB 2010",https://dbs.uni-leipzig.de/research/publications/evaluation-of-entity-resolution-approaches-on-real-world-match-problems,"Real-world entity-resolution evaluation prior art"
NCVR,Real public benchmark,"North Carolina State Board of Elections, Voter History Data",https://www.ncsbe.gov/results-data/voter-history-data,"Example of a real public administrative benchmark; NCVR means North Carolina Voter Registration"
